"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week"
"184469",40350,"UIC-Halsted","01/25/2010","W",5812,2010-01-25,1,"Jan",2010,25,"Monday"
"184578",40350,"UIC-Halsted","08/18/2010","W",3868,2010-08-18,8,"Aug",2010,18,"Wednesday"
"184654",40350,"UIC-Halsted","10/20/2010","W",7395,2010-10-20,10,"Oct",2010,20,"Wednesday"
"184765",40350,"UIC-Halsted","01/12/2015","W",7078,2015-01-12,1,"Jan",2015,12,"Monday"
"184957",40350,"UIC-Halsted","10/05/2007","W",6352,2007-10-05,10,"Oct",2007,5,"Friday"
"185125",40350,"UIC-Halsted","04/12/2005","W",5878,2005-04-12,4,"Apr",2005,12,"Tuesday"
"185682",40350,"UIC-Halsted","10/12/2003","U",4218,2003-10-12,10,"Oct",2003,12,"Sunday"
"185962",40350,"UIC-Halsted","03/22/2005","W",2632,2005-03-22,3,"Mar",2005,22,"Tuesday"
"185975",40350,"UIC-Halsted","08/14/2007","W",2320,2007-08-14,8,"Aug",2007,14,"Tuesday"
"186420",40350,"UIC-Halsted","02/25/2011","W",6738,2011-02-25,2,"Feb",2011,25,"Friday"
"186467",40350,"UIC-Halsted","05/18/2006","W",2791,2006-05-18,5,"May",2006,18,"Thursday"
"186729",40350,"UIC-Halsted","07/06/2013","A",1912,2013-07-06,7,"Jul",2013,6,"Saturday"
"187095",40350,"UIC-Halsted","08/01/2016","W",3398,2016-08-01,8,"Aug",2016,1,"Monday"
"187492",40350,"UIC-Halsted","05/31/2016","W",3361,2016-05-31,5,"May",2016,31,"Tuesday"
"187740",40350,"UIC-Halsted","05/21/2003","W",2484,2003-05-21,5,"May",2003,21,"Wednesday"
"187822",40350,"UIC-Halsted","12/23/2013","W",1847,2013-12-23,12,"Dec",2013,23,"Monday"
"187828",40350,"UIC-Halsted","02/23/2007","W",5331,2007-02-23,2,"Feb",2007,23,"Friday"
"187888",40350,"UIC-Halsted","12/17/2002","W",2605,2002-12-17,12,"Dec",2002,17,"Tuesday"
"188380",40350,"UIC-Halsted","05/31/2002","W",2539,2002-05-31,5,"May",2002,31,"Friday"
"188389",40350,"UIC-Halsted","09/18/2001","W",6182,2001-09-18,9,"Sep",2001,18,"Tuesday"
"188408",40350,"UIC-Halsted","04/02/2002","W",5214,2002-04-02,4,"Apr",2002,2,"Tuesday"
"188467",40350,"UIC-Halsted","08/04/2001","A",855,2001-08-04,8,"Aug",2001,4,"Saturday"
"188678",40350,"UIC-Halsted","10/27/2008","W",6575,2008-10-27,10,"Oct",2008,27,"Monday"
"188766",40350,"UIC-Halsted","03/11/2013","W",7058,2013-03-11,3,"Mar",2013,11,"Monday"
"188898",40350,"UIC-Halsted","07/22/2005","W",3333,2005-07-22,7,"Jul",2005,22,"Friday"
"189248",40350,"UIC-Halsted","12/04/2001","W",4678,2001-12-04,12,"Dec",2001,4,"Tuesday"
"189333",40350,"UIC-Halsted","06/13/2014","W",3656,2014-06-13,6,"Jun",2014,13,"Friday"
"189405",40350,"UIC-Halsted","02/28/2002","W",5449,2002-02-28,2,"Feb",2002,28,"Thursday"
"189473",40350,"UIC-Halsted","02/27/2001","W",4404,2001-02-27,2,"Feb",2001,27,"Tuesday"
"189632",40350,"UIC-Halsted","09/04/2002","W",7618,2002-09-04,9,"Sep",2002,4,"Wednesday"
"189982",40350,"UIC-Halsted","07/03/2005","U",1858,2005-07-03,7,"Jul",2005,3,"Sunday"
"190033",40350,"UIC-Halsted","05/26/2015","W",3336,2015-05-26,5,"May",2015,26,"Tuesday"
"190037",40350,"UIC-Halsted","04/29/2003","W",5706,2003-04-29,4,"Apr",2003,29,"Tuesday"
"190564",40350,"UIC-Halsted","02/14/2016","U",1471,2016-02-14,2,"Feb",2016,14,"Sunday"
"190729",40350,"UIC-Halsted","07/14/2016","W",4087,2016-07-14,7,"Jul",2016,14,"Thursday"
"190754",40350,"UIC-Halsted","05/08/2007","W",4362,2007-05-08,5,"May",2007,8,"Tuesday"
"190784",40350,"UIC-Halsted","05/20/2006","A",1415,2006-05-20,5,"May",2006,20,"Saturday"
"190793",40350,"UIC-Halsted","10/21/2010","W",7441,2010-10-21,10,"Oct",2010,21,"Thursday"
"190798",40350,"UIC-Halsted","04/25/2013","W",7075,2013-04-25,4,"Apr",2013,25,"Thursday"
"190862",40350,"UIC-Halsted","08/29/2003","W",6769,2003-08-29,8,"Aug",2003,29,"Friday"
"191059",40350,"UIC-Halsted","08/19/2001","U",1132,2001-08-19,8,"Aug",2001,19,"Sunday"
"191258",40350,"UIC-Halsted","09/06/2004","U",998,2004-09-06,9,"Sep",2004,6,"Monday"
"191894",40350,"UIC-Halsted","10/12/2005","W",7201,2005-10-12,10,"Oct",2005,12,"Wednesday"
"191992",40350,"UIC-Halsted","11/11/2016","W",7836,2016-11-11,11,"Nov",2016,11,"Friday"
"192243",40350,"UIC-Halsted","10/15/2016","A",2893,2016-10-15,10,"Oct",2016,15,"Saturday"
"192339",40350,"UIC-Halsted","01/20/2009","W",6140,2009-01-20,1,"Jan",2009,20,"Tuesday"
"192464",40350,"UIC-Halsted","09/14/2008","U",1292,2008-09-14,9,"Sep",2008,14,"Sunday"
"192527",40350,"UIC-Halsted","04/20/2001","W",3896,2001-04-20,4,"Apr",2001,20,"Friday"
"192620",40350,"UIC-Halsted","04/13/2014","U",1508,2014-04-13,4,"Apr",2014,13,"Sunday"
"192648",40350,"UIC-Halsted","02/06/2001","W",4615,2001-02-06,2,"Feb",2001,6,"Tuesday"
"192679",40350,"UIC-Halsted","08/16/2013","W",3431,2013-08-16,8,"Aug",2013,16,"Friday"
"192682",40350,"UIC-Halsted","05/08/2008","W",5019,2008-05-08,5,"May",2008,8,"Thursday"
"192854",40350,"UIC-Halsted","11/04/2011","W",7564,2011-11-04,11,"Nov",2011,4,"Friday"
"192981",40350,"UIC-Halsted","12/04/2005","U",1092,2005-12-04,12,"Dec",2005,4,"Sunday"
"193133",40350,"UIC-Halsted","02/15/2017","W",7431,2017-02-15,2,"Feb",2017,15,"Wednesday"
"193172",40350,"UIC-Halsted","02/06/2017","W",7089,2017-02-06,2,"Feb",2017,6,"Monday"
"193270",40350,"UIC-Halsted","03/17/2009","W",6100,2009-03-17,3,"Mar",2009,17,"Tuesday"
"193327",40350,"UIC-Halsted","08/19/2015","W",3964,2015-08-19,8,"Aug",2015,19,"Wednesday"
"193703",40350,"UIC-Halsted","06/08/2003","U",773,2003-06-08,6,"Jun",2003,8,"Sunday"
"193718",40350,"UIC-Halsted","07/19/2016","W",3957,2016-07-19,7,"Jul",2016,19,"Tuesday"
"193809",40350,"UIC-Halsted","10/17/2009","A",1006,2009-10-17,10,"Oct",2009,17,"Saturday"
"193841",40350,"UIC-Halsted","08/22/2012","W",4242,2012-08-22,8,"Aug",2012,22,"Wednesday"
"193857",40350,"UIC-Halsted","05/06/2003","W",4912,2003-05-06,5,"May",2003,6,"Tuesday"
"193915",40350,"UIC-Halsted","09/23/2017","A",2433,2017-09-23,9,"Sep",2017,23,"Saturday"
"194073",40350,"UIC-Halsted","08/03/2004","W",2497,2004-08-03,8,"Aug",2004,3,"Tuesday"
"194095",40350,"UIC-Halsted","09/10/2017","U",1694,2017-09-10,9,"Sep",2017,10,"Sunday"
"194233",40350,"UIC-Halsted","11/09/2013","A",3033,2013-11-09,11,"Nov",2013,9,"Saturday"
"194405",40350,"UIC-Halsted","05/10/2013","W",5406,2013-05-10,5,"May",2013,10,"Friday"
"194766",40350,"UIC-Halsted","05/12/2001","A",830,2001-05-12,5,"May",2001,12,"Saturday"
"195082",40350,"UIC-Halsted","07/18/2002","W",3450,2002-07-18,7,"Jul",2002,18,"Thursday"
"195175",40350,"UIC-Halsted","12/22/2008","W",1882,2008-12-22,12,"Dec",2008,22,"Monday"
"195324",40350,"UIC-Halsted","06/10/2004","W",3482,2004-06-10,6,"Jun",2004,10,"Thursday"
"195437",40350,"UIC-Halsted","09/17/2003","W",7327,2003-09-17,9,"Sep",2003,17,"Wednesday"
"195453",40350,"UIC-Halsted","07/18/2010","U",1136,2010-07-18,7,"Jul",2010,18,"Sunday"
"195495",40350,"UIC-Halsted","04/09/2017","U",1589,2017-04-09,4,"Apr",2017,9,"Sunday"
"195570",40350,"UIC-Halsted","11/24/2011","U",947,2011-11-24,11,"Nov",2011,24,"Thursday"
"195573",40350,"UIC-Halsted","09/29/2009","W",6672,2009-09-29,9,"Sep",2009,29,"Tuesday"
"195851",40350,"UIC-Halsted","09/14/2006","W",6952,2006-09-14,9,"Sep",2006,14,"Thursday"
"195908",40350,"UIC-Halsted","12/21/2007","W",2050,2007-12-21,12,"Dec",2007,21,"Friday"
"195929",40350,"UIC-Halsted","12/07/2012","W",7186,2012-12-07,12,"Dec",2012,7,"Friday"
"196199",40350,"UIC-Halsted","04/20/2006","W",6278,2006-04-20,4,"Apr",2006,20,"Thursday"
"196231",40350,"UIC-Halsted","06/27/2002","W",3486,2002-06-27,6,"Jun",2002,27,"Thursday"
"196251",40350,"UIC-Halsted","10/27/2011","W",7876,2011-10-27,10,"Oct",2011,27,"Thursday"
"196308",40350,"UIC-Halsted","06/02/2003","W",3421,2003-06-02,6,"Jun",2003,2,"Monday"
"196415",40350,"UIC-Halsted","02/01/2009","U",1195,2009-02-01,2,"Feb",2009,1,"Sunday"
"196524",40350,"UIC-Halsted","06/01/2001","W",2603,2001-06-01,6,"Jun",2001,1,"Friday"
"196734",40350,"UIC-Halsted","06/24/2009","W",3326,2009-06-24,6,"Jun",2009,24,"Wednesday"
"196783",40350,"UIC-Halsted","09/21/2016","W",8644,2016-09-21,9,"Sep",2016,21,"Wednesday"
"196978",40350,"UIC-Halsted","11/13/2010","A",2792,2010-11-13,11,"Nov",2010,13,"Saturday"
"197130",40350,"UIC-Halsted","01/02/2011","U",714,2011-01-02,1,"Jan",2011,2,"Sunday"
"197282",40350,"UIC-Halsted","03/20/2014","W",7642,2014-03-20,3,"Mar",2014,20,"Thursday"
"197286",40350,"UIC-Halsted","09/21/2001","W",5874,2001-09-21,9,"Sep",2001,21,"Friday"
"197292",40350,"UIC-Halsted","11/17/2016","W",8022,2016-11-17,11,"Nov",2016,17,"Thursday"
"197346",40350,"UIC-Halsted","12/05/2006","W",5768,2006-12-05,12,"Dec",2006,5,"Tuesday"
"197436",40350,"UIC-Halsted","02/05/2005","A",1761,2005-02-05,2,"Feb",2005,5,"Saturday"
"197684",40350,"UIC-Halsted","02/09/2011","W",6907,2011-02-09,2,"Feb",2011,9,"Wednesday"
"197702",40350,"UIC-Halsted","10/08/2010","W",7368,2010-10-08,10,"Oct",2010,8,"Friday"
"197839",40350,"UIC-Halsted","12/23/2003","W",1933,2003-12-23,12,"Dec",2003,23,"Tuesday"
"198022",40350,"UIC-Halsted","06/20/2002","W",3498,2002-06-20,6,"Jun",2002,20,"Thursday"
"198098",40350,"UIC-Halsted","10/12/2010","W",7411,2010-10-12,10,"Oct",2010,12,"Tuesday"
"198217",40350,"UIC-Halsted","08/26/2002","W",6727,2002-08-26,8,"Aug",2002,26,"Monday"
"198462",40350,"UIC-Halsted","10/13/2017","W",8046,2017-10-13,10,"Oct",2017,13,"Friday"
"198634",40350,"UIC-Halsted","07/16/2011","A",1953,2011-07-16,7,"Jul",2011,16,"Saturday"
"198888",40350,"UIC-Halsted","01/03/2017","W",2703,2017-01-03,1,"Jan",2017,3,"Tuesday"
"199018",40350,"UIC-Halsted","11/30/2003","U",935,2003-11-30,11,"Nov",2003,30,"Sunday"
"199158",40350,"UIC-Halsted","06/23/2002","U",834,2002-06-23,6,"Jun",2002,23,"Sunday"
"199317",40350,"UIC-Halsted","02/15/2006","W",6430,2006-02-15,2,"Feb",2006,15,"Wednesday"
"199324",40350,"UIC-Halsted","04/09/2016","A",2460,2016-04-09,4,"Apr",2016,9,"Saturday"
"199430",40350,"UIC-Halsted","03/19/2011","A",2254,2011-03-19,3,"Mar",2011,19,"Saturday"
"199516",40350,"UIC-Halsted","03/28/2012","W",6956,2012-03-28,3,"Mar",2012,28,"Wednesday"
"199609",40350,"UIC-Halsted","08/26/2012","U",2052,2012-08-26,8,"Aug",2012,26,"Sunday"
"199780",40350,"UIC-Halsted","03/31/2009","W",5416,2009-03-31,3,"Mar",2009,31,"Tuesday"
"199923",40350,"UIC-Halsted","01/24/2005","W",6168,2005-01-24,1,"Jan",2005,24,"Monday"
"200435",40350,"UIC-Halsted","05/08/2009","W",4474,2009-05-08,5,"May",2009,8,"Friday"
"200566",40350,"UIC-Halsted","09/13/2002","W",7189,2002-09-13,9,"Sep",2002,13,"Friday"
"200644",40350,"UIC-Halsted","05/25/2012","W",3785,2012-05-25,5,"May",2012,25,"Friday"
"200653",40350,"UIC-Halsted","09/08/2011","W",8275,2011-09-08,9,"Sep",2011,8,"Thursday"
"200722",40350,"UIC-Halsted","06/15/2003","U",757,2003-06-15,6,"Jun",2003,15,"Sunday"
"200865",40350,"UIC-Halsted","06/07/2015","U",1299,2015-06-07,6,"Jun",2015,7,"Sunday"
"201043",40350,"UIC-Halsted","11/16/2015","W",7953,2015-11-16,11,"Nov",2015,16,"Monday"
"201146",40350,"UIC-Halsted","10/13/2003","W",6680,2003-10-13,10,"Oct",2003,13,"Monday"
"201425",40350,"UIC-Halsted","02/27/2007","W",5340,2007-02-27,2,"Feb",2007,27,"Tuesday"
"201492",40350,"UIC-Halsted","04/06/2003","U",892,2003-04-06,4,"Apr",2003,6,"Sunday"
"201607",40350,"UIC-Halsted","08/12/2005","W",2535,2005-08-12,8,"Aug",2005,12,"Friday"
"201822",40350,"UIC-Halsted","12/31/2011","A",1594,2011-12-31,12,"Dec",2011,31,"Saturday"
"202433",40350,"UIC-Halsted","04/01/2004","W",5730,2004-04-01,4,"Apr",2004,1,"Thursday"
"202436",40350,"UIC-Halsted","06/30/2011","W",3973,2011-06-30,6,"Jun",2011,30,"Thursday"
"202479",40350,"UIC-Halsted","01/03/2015","A",978,2015-01-03,1,"Jan",2015,3,"Saturday"
"202919",40350,"UIC-Halsted","05/28/2016","A",1674,2016-05-28,5,"May",2016,28,"Saturday"
"202992",40350,"UIC-Halsted","09/05/2002","W",7549,2002-09-05,9,"Sep",2002,5,"Thursday"
"203227",40350,"UIC-Halsted","01/17/2003","W",5968,2003-01-17,1,"Jan",2003,17,"Friday"
"203485",40350,"UIC-Halsted","07/10/2013","W",4572,2013-07-10,7,"Jul",2013,10,"Wednesday"
"203788",40350,"UIC-Halsted","07/02/2016","A",1436,2016-07-02,7,"Jul",2016,2,"Saturday"
"203812",40350,"UIC-Halsted","02/12/2007","W",5174,2007-02-12,2,"Feb",2007,12,"Monday"
"203869",40350,"UIC-Halsted","04/22/2013","W",6772,2013-04-22,4,"Apr",2013,22,"Monday"
"204072",40350,"UIC-Halsted","10/28/2008","W",6862,2008-10-28,10,"Oct",2008,28,"Tuesday"
"204186",40350,"UIC-Halsted","05/08/2005","U",937,2005-05-08,5,"May",2005,8,"Sunday"
"204346",40350,"UIC-Halsted","01/09/2004","W",2541,2004-01-09,1,"Jan",2004,9,"Friday"
"204479",40350,"UIC-Halsted","12/09/2007","U",966,2007-12-09,12,"Dec",2007,9,"Sunday"
"204638",40350,"UIC-Halsted","10/07/2011","W",7798,2011-10-07,10,"Oct",2011,7,"Friday"
"204691",40350,"UIC-Halsted","01/18/2013","W",7171,2013-01-18,1,"Jan",2013,18,"Friday"
"204703",40350,"UIC-Halsted","01/24/2011","W",6548,2011-01-24,1,"Jan",2011,24,"Monday"
"204774",40350,"UIC-Halsted","12/12/2003","W",4516,2003-12-12,12,"Dec",2003,12,"Friday"
"204776",40350,"UIC-Halsted","10/19/2009","W",6146,2009-10-19,10,"Oct",2009,19,"Monday"
"205078",40350,"UIC-Halsted","01/21/2003","W",6357,2003-01-21,1,"Jan",2003,21,"Tuesday"
"205133",40350,"UIC-Halsted","09/22/2011","W",7985,2011-09-22,9,"Sep",2011,22,"Thursday"
"205197",40350,"UIC-Halsted","12/07/2002","A",1613,2002-12-07,12,"Dec",2002,7,"Saturday"
"205294",40350,"UIC-Halsted","11/24/2014","W",7161,2014-11-24,11,"Nov",2014,24,"Monday"
"205464",40350,"UIC-Halsted","10/19/2014","U",1736,2014-10-19,10,"Oct",2014,19,"Sunday"
"205829",40350,"UIC-Halsted","11/21/2015","A",2667,2015-11-21,11,"Nov",2015,21,"Saturday"
"205871",40350,"UIC-Halsted","02/22/2013","W",7349,2013-02-22,2,"Feb",2013,22,"Friday"
"205945",40350,"UIC-Halsted","10/02/2014","W",7959,2014-10-02,10,"Oct",2014,2,"Thursday"
"206039",40350,"UIC-Halsted","11/22/2015","U",1632,2015-11-22,11,"Nov",2015,22,"Sunday"
"206220",40350,"UIC-Halsted","07/17/2002","W",3544,2002-07-17,7,"Jul",2002,17,"Wednesday"
"206255",40350,"UIC-Halsted","03/09/2017","W",7173,2017-03-09,3,"Mar",2017,9,"Thursday"
"206379",40350,"UIC-Halsted","12/23/2012","U",1021,2012-12-23,12,"Dec",2012,23,"Sunday"
"206380",40350,"UIC-Halsted","09/25/2017","W",8459,2017-09-25,9,"Sep",2017,25,"Monday"
"206637",40350,"UIC-Halsted","05/25/2015","U",1203,2015-05-25,5,"May",2015,25,"Monday"
"206653",40350,"UIC-Halsted","03/01/2014","A",2327,2014-03-01,3,"Mar",2014,1,"Saturday"
"206798",40350,"UIC-Halsted","02/07/2003","W",5868,2003-02-07,2,"Feb",2003,7,"Friday"
"206955",40350,"UIC-Halsted","02/22/2001","W",4467,2001-02-22,2,"Feb",2001,22,"Thursday"
"207119",40350,"UIC-Halsted","12/28/2016","W",1760,2016-12-28,12,"Dec",2016,28,"Wednesday"
"207223",40350,"UIC-Halsted","11/08/2017","W",8549,2017-11-08,11,"Nov",2017,8,"Wednesday"
"207355",40350,"UIC-Halsted","10/21/2001","U",1109,2001-10-21,10,"Oct",2001,21,"Sunday"
"207356",40350,"UIC-Halsted","01/20/2012","W",7571,2012-01-20,1,"Jan",2012,20,"Friday"
"207420",40350,"UIC-Halsted","05/20/2014","W",3793,2014-05-20,5,"May",2014,20,"Tuesday"
"207600",40350,"UIC-Halsted","04/08/2003","W",5750,2003-04-08,4,"Apr",2003,8,"Tuesday"
"207621",40350,"UIC-Halsted","06/07/2017","W",3398,2017-06-07,6,"Jun",2017,7,"Wednesday"
"207743",40350,"UIC-Halsted","02/28/2016","U",1660,2016-02-28,2,"Feb",2016,28,"Sunday"
"207911",40350,"UIC-Halsted","11/12/2011","A",3045,2011-11-12,11,"Nov",2011,12,"Saturday"
"208226",40350,"UIC-Halsted","01/19/2007","W",5658,2007-01-19,1,"Jan",2007,19,"Friday"
"208280",40350,"UIC-Halsted","04/16/2012","W",6846,2012-04-16,4,"Apr",2012,16,"Monday"
"208435",40350,"UIC-Halsted","08/18/2017","W",3334,2017-08-18,8,"Aug",2017,18,"Friday"
"208458",40350,"UIC-Halsted","11/02/2015","W",8234,2015-11-02,11,"Nov",2015,2,"Monday"
"208480",40350,"UIC-Halsted","04/15/2004","W",5974,2004-04-15,4,"Apr",2004,15,"Thursday"
"208643",40350,"UIC-Halsted","09/30/2008","W",6943,2008-09-30,9,"Sep",2008,30,"Tuesday"
"208812",40350,"UIC-Halsted","05/21/2011","A",1787,2011-05-21,5,"May",2011,21,"Saturday"
"209603",40350,"UIC-Halsted","10/06/2009","W",6545,2009-10-06,10,"Oct",2009,6,"Tuesday"
"209758",40350,"UIC-Halsted","11/05/2016","A",2623,2016-11-05,11,"Nov",2016,5,"Saturday"
"209820",40350,"UIC-Halsted","06/25/2017","U",1650,2017-06-25,6,"Jun",2017,25,"Sunday"
"209863",40350,"UIC-Halsted","03/08/2012","W",7204,2012-03-08,3,"Mar",2012,8,"Thursday"
"209887",40350,"UIC-Halsted","12/08/2009","W",4702,2009-12-08,12,"Dec",2009,8,"Tuesday"
"210246",40350,"UIC-Halsted","10/08/2012","W",7760,2012-10-08,10,"Oct",2012,8,"Monday"
"210317",40350,"UIC-Halsted","08/31/2008","U",1559,2008-08-31,8,"Aug",2008,31,"Sunday"
"210478",40350,"UIC-Halsted","12/14/2011","W",3571,2011-12-14,12,"Dec",2011,14,"Wednesday"
"210592",40350,"UIC-Halsted","10/07/2015","W",8682,2015-10-07,10,"Oct",2015,7,"Wednesday"
"210899",40350,"UIC-Halsted","07/25/2008","W",3471,2008-07-25,7,"Jul",2008,25,"Friday"
"211185",40350,"UIC-Halsted","12/17/2004","W",2451,2004-12-17,12,"Dec",2004,17,"Friday"
"211286",40350,"UIC-Halsted","05/20/2005","W",2647,2005-05-20,5,"May",2005,20,"Friday"
"211608",40350,"UIC-Halsted","02/02/2003","U",917,2003-02-02,2,"Feb",2003,2,"Sunday"
"211750",40350,"UIC-Halsted","03/22/2009","U",1077,2009-03-22,3,"Mar",2009,22,"Sunday"
"211980",40350,"UIC-Halsted","11/14/2016","W",7893,2016-11-14,11,"Nov",2016,14,"Monday"
"212005",40350,"UIC-Halsted","06/28/2013","W",4685,2013-06-28,6,"Jun",2013,28,"Friday"
"212097",40350,"UIC-Halsted","08/16/2016","W",3199,2016-08-16,8,"Aug",2016,16,"Tuesday"
"212338",40350,"UIC-Halsted","09/12/2002","W",7342,2002-09-12,9,"Sep",2002,12,"Thursday"
"212441",40350,"UIC-Halsted","04/28/2007","A",1587,2007-04-28,4,"Apr",2007,28,"Saturday"
"212527",40350,"UIC-Halsted","02/22/2002","W",3599,2002-02-22,2,"Feb",2002,22,"Friday"
"213008",40350,"UIC-Halsted","04/06/2009","W",5496,2009-04-06,4,"Apr",2009,6,"Monday"
"213040",40350,"UIC-Halsted","09/01/2010","W",7539,2010-09-01,9,"Sep",2010,1,"Wednesday"
"213134",40350,"UIC-Halsted","03/06/2016","U",1587,2016-03-06,3,"Mar",2016,6,"Sunday"
"213225",40350,"UIC-Halsted","11/20/2007","W",6057,2007-11-20,11,"Nov",2007,20,"Tuesday"
"213239",40350,"UIC-Halsted","06/18/2003","W",3525,2003-06-18,6,"Jun",2003,18,"Wednesday"
"213242",40350,"UIC-Halsted","11/07/2006","W",6176,2006-11-07,11,"Nov",2006,7,"Tuesday"
"213459",40350,"UIC-Halsted","06/05/2002","W",3608,2002-06-05,6,"Jun",2002,5,"Wednesday"
"213479",40350,"UIC-Halsted","11/29/2008","A",1183,2008-11-29,11,"Nov",2008,29,"Saturday"
"213740",40350,"UIC-Halsted","04/20/2016","W",7171,2016-04-20,4,"Apr",2016,20,"Wednesday"
"213800",40350,"UIC-Halsted","03/01/2013","W",6905,2013-03-01,3,"Mar",2013,1,"Friday"
"213846",40350,"UIC-Halsted","12/31/2003","W",1601,2003-12-31,12,"Dec",2003,31,"Wednesday"
"213848",40350,"UIC-Halsted","08/09/2011","W",3241,2011-08-09,8,"Aug",2011,9,"Tuesday"
"213957",40350,"UIC-Halsted","09/11/2003","W",7440,2003-09-11,9,"Sep",2003,11,"Thursday"
"214129",40350,"UIC-Halsted","02/15/2016","W",6530,2016-02-15,2,"Feb",2016,15,"Monday"
"214220",40350,"UIC-Halsted","07/01/2003","W",3851,2003-07-01,7,"Jul",2003,1,"Tuesday"
"214380",40350,"UIC-Halsted","09/03/2005","A",1738,2005-09-03,9,"Sep",2005,3,"Saturday"
"214385",40350,"UIC-Halsted","06/13/2017","W",3812,2017-06-13,6,"Jun",2017,13,"Tuesday"
"214404",40350,"UIC-Halsted","03/16/2011","W",7209,2011-03-16,3,"Mar",2011,16,"Wednesday"
"214483",40350,"UIC-Halsted","09/10/2006","U",1136,2006-09-10,9,"Sep",2006,10,"Sunday"
"214620",40350,"UIC-Halsted","05/30/2014","W",3741,2014-05-30,5,"May",2014,30,"Friday"
"214848",40350,"UIC-Halsted","05/17/2016","W",3376,2016-05-17,5,"May",2016,17,"Tuesday"
"215057",40350,"UIC-Halsted","10/31/2016","W",7999,2016-10-31,10,"Oct",2016,31,"Monday"
"215224",40350,"UIC-Halsted","04/26/2011","W",6649,2011-04-26,4,"Apr",2011,26,"Tuesday"
"215370",40350,"UIC-Halsted","02/15/2009","U",1427,2009-02-15,2,"Feb",2009,15,"Sunday"
"215411",40350,"UIC-Halsted","05/20/2011","W",3658,2011-05-20,5,"May",2011,20,"Friday"
"215878",40350,"UIC-Halsted","09/20/2010","W",7321,2010-09-20,9,"Sep",2010,20,"Monday"
"215912",40350,"UIC-Halsted","10/23/2005","U",1172,2005-10-23,10,"Oct",2005,23,"Sunday"
"216058",40350,"UIC-Halsted","12/26/2003","W",999,2003-12-26,12,"Dec",2003,26,"Friday"
"216187",40350,"UIC-Halsted","11/15/2011","W",7701,2011-11-15,11,"Nov",2011,15,"Tuesday"
"216205",40350,"UIC-Halsted","08/25/2012","A",3680,2012-08-25,8,"Aug",2012,25,"Saturday"
"216289",40350,"UIC-Halsted","10/03/2005","W",6866,2005-10-03,10,"Oct",2005,3,"Monday"
"216377",40350,"UIC-Halsted","10/24/2013","W",8213,2013-10-24,10,"Oct",2013,24,"Thursday"
"216658",40350,"UIC-Halsted","08/29/2012","W",8250,2012-08-29,8,"Aug",2012,29,"Wednesday"
"217004",40350,"UIC-Halsted","04/23/2006","U",1374,2006-04-23,4,"Apr",2006,23,"Sunday"
"217096",40350,"UIC-Halsted","02/04/2012","A",2446,2012-02-04,2,"Feb",2012,4,"Saturday"
"217317",40350,"UIC-Halsted","02/05/2006","U",979,2006-02-05,2,"Feb",2006,5,"Sunday"
"217376",40350,"UIC-Halsted","08/29/2010","U",2150,2010-08-29,8,"Aug",2010,29,"Sunday"
"217508",40350,"UIC-Halsted","11/07/2010","U",1612,2010-11-07,11,"Nov",2010,7,"Sunday"
"217629",40350,"UIC-Halsted","02/13/2017","W",7136,2017-02-13,2,"Feb",2017,13,"Monday"
"217637",40350,"UIC-Halsted","08/03/2014","U",1236,2014-08-03,8,"Aug",2014,3,"Sunday"
"217743",40350,"UIC-Halsted","12/14/2016","W",3143,2016-12-14,12,"Dec",2016,14,"Wednesday"
"217852",40350,"UIC-Halsted","04/19/2016","W",7211,2016-04-19,4,"Apr",2016,19,"Tuesday"
"218103",40350,"UIC-Halsted","02/26/2017","U",1505,2017-02-26,2,"Feb",2017,26,"Sunday"
"218255",40350,"UIC-Halsted","07/22/2012","U",1474,2012-07-22,7,"Jul",2012,22,"Sunday"
"218559",40350,"UIC-Halsted","06/23/2017","W",3608,2017-06-23,6,"Jun",2017,23,"Friday"
"219021",40350,"UIC-Halsted","02/02/2005","W",6258,2005-02-02,2,"Feb",2005,2,"Wednesday"
"219314",40350,"UIC-Halsted","06/29/2011","W",4406,2011-06-29,6,"Jun",2011,29,"Wednesday"
"219420",40350,"UIC-Halsted","05/23/2008","W",2907,2008-05-23,5,"May",2008,23,"Friday"
"219803",40350,"UIC-Halsted","12/30/2016","W",1657,2016-12-30,12,"Dec",2016,30,"Friday"
"220104",40350,"UIC-Halsted","02/06/2005","U",1075,2005-02-06,2,"Feb",2005,6,"Sunday"
"220174",40350,"UIC-Halsted","01/11/2001","W",4731,2001-01-11,1,"Jan",2001,11,"Thursday"
"220424",40350,"UIC-Halsted","10/08/2013","W",8226,2013-10-08,10,"Oct",2013,8,"Tuesday"
"220582",40350,"UIC-Halsted","08/31/2014","U",1851,2014-08-31,8,"Aug",2014,31,"Sunday"
"220658",40350,"UIC-Halsted","12/24/2006","U",528,2006-12-24,12,"Dec",2006,24,"Sunday"
"220800",40350,"UIC-Halsted","11/26/2002","W",6506,2002-11-26,11,"Nov",2002,26,"Tuesday"
"221039",40350,"UIC-Halsted","07/15/2016","W",3787,2016-07-15,7,"Jul",2016,15,"Friday"
"221136",40350,"UIC-Halsted","11/21/2014","W",7399,2014-11-21,11,"Nov",2014,21,"Friday"
